"","gene","fc_PCR_vs_RD","pval","mean_PCR","mean_RD","mean_diff"
"131","ZNF667",2.54948366938165,0.0309149783172192,-0.106030526315789,-0.0415890196078431,-0.0644415067079463
"132","KIR3DL2",-28.2138554216869,0.629557488037981,-0.00551,0.000195294117647058,-0.00570529411764706
"133","PTPRH",0.829999120932851,0.561300749223296,0.106792894736842,0.128666274509804,-0.0218733797729618
"134","ACTN4",-0.0810528635894343,0.759337384039028,-0.000865263157894737,0.0106752941176471,-0.0115405572755418
"135","ATCAY",0.605491403643829,0.197510227550622,-0.01388,-0.0229235294117647,0.00904352941176471
"136","CLC",0.874789244055505,0.662658142168248,0.0371915789473684,0.0425149019607843,-0.00532332301341589
"137","HDGFRP2",0.935153536468705,0.571790328974024,-0.166961578947368,-0.178539215686275,0.0115776367389061
"138","PLIN3",1.23208846168548,0.424485398728304,-0.115757368421053,-0.0939521568627451,-0.0218052115583075
"139","PRSS50",0.98481509704989,0.921947792590557,-0.148920263157895,-0.151216470588235,0.00229620743034054
"140","DOT1L",1.77521717449938,0.357442145248289,0.0364821052631579,0.0205507843137255,0.0159313209494324
"141","MRPL54",0.745099894013858,0.630942957661513,-0.0268655263157895,-0.0360562745098039,0.00919074819401445
"142","FUT5",2.12914880694971,0.144474578208371,0.179663421052632,0.0843827450980392,0.0952806759545924
"143","KISS1R",1.78713887044438,0.515904760423486,0.0588844736842105,0.0329490196078431,0.0259354540763674
"144","SLC5A5",8.00596494764426,0.0261086231864772,0.0311510526315789,0.00389098039215686,0.0272600722394221
"145","IL12RB1",1.07982428367896,0.982708389128937,-0.002675,-0.00247725490196078,-0.000197745098039215
"146","SYDE1",1.49859601596983,0.466947803052946,-0.0535842105263158,-0.0357562745098039,-0.0178279360165119
"147","HPN",1.06663561614319,0.720937598529997,-0.339002105263158,-0.317823725490196,-0.0211783797729618
"148","ZNF14",2.42424004917856,0.379711678403202,0.0509123684210526,0.0210013725490196,0.029910995872033
"149","ACOX2",1.30884078968013,0.672256603840881,-0.161931578947368,-0.12372137254902,-0.0382102063983488
"150","LPAR2",0.341317425403995,0.0645374572627728,-0.0284105263157895,-0.0832378431372549,0.0548273168214654
"151","FBXO17",0.784109993957888,0.130912945567546,-0.205268157894737,-0.261784901960784,0.0565167440660475
"152","FBN3",1.10289679542394,0.622186933740715,0.0678402631578947,0.0615109803921569,0.00632928276573787
"153","APC2",0.995971918799304,0.967562558204077,-0.380111315789474,-0.38164862745098,0.00153731166150667
"154","APC2.1",1.03222937661652,0.782542997839968,-0.239666052631579,-0.232182941176471,-0.00748311145510835
"155","SEZ6L2",0.782933425425899,0.334334961083995,-0.140681315789474,-0.179684901960784,0.0390035861713106
"156","ARL5A",0.54525279627316,0.452787019490589,0.0228844736842105,0.0419703921568627,-0.0190859184726522
"157","MDH1",-16.0326686812353,0.636031982862169,0.0141810526315789,-0.000884509803921569,0.0150655624355005
"158","ZFP36L2",1.0144056692748,0.960420359964663,0.144342368421053,0.142292549019608,0.0020498194014448
"159","CAPN13",-0.00832218621499427,0.508384941891953,0.00042657894736842,-0.0512580392156863,0.0516846181630547
"160","MARCO",0.476635234030245,0.0673292869396067,-0.129789736842105,-0.272304117647059,0.142514380804954
"161","CXCR4",2.62821704288746,0.300238853473951,0.109414736842105,0.0416307843137255,0.0677839525283798
"162","ERMN",3.86263954070406,0.431315354852436,-0.0355976315789474,-0.00921588235294118,-0.0263817492260062
"163","COQ10B",0.946066490942493,0.872806013518249,-0.0878634210526316,-0.0928723529411765,0.0050089318885449
"164","MATN3",1.37231010005719,0.0499211287224709,-0.517271842105263,-0.376935098039216,-0.140336744066047
"165","HAS2",1.99075069366217,0.40855377944695,-0.0502086842105263,-0.0252209803921569,-0.0249877038183695
"166","SSFA2",1.57806111148386,0.00771622727921329,-0.420643947368421,-0.266557450980392,-0.154086496388029
"168","BOLL",1.18960414843195,0.720076945879591,0.0223015789473684,0.0187470588235294,0.00355452012383901
"169","TUBA4A",0.182416812983109,0.0587767643002474,-0.0227644736842105,-0.124793725490196,0.102029251805986
"170","SLC2A13",0.979485144669831,0.965823204147436,-0.0718394736842105,-0.0733441176470588,0.0015046439628483
"171","WNT10A",6.63570347678453,0.0302461088791123,0.118745263157895,0.0178949019607843,0.10085036119711
"172","WNT10A.1",6.85585133805127,0.0461737038275286,0.0981260526315789,0.0143127450980392,0.0838133075335397
"173","ARPC2",1.09428695813686,0.628515740847301,0.0922947368421053,0.0843423529411765,0.0079523839009288
"174","FAM82A1",0.837866171773355,0.558987911387106,0.115020789473684,0.137278235294118,-0.0222574458204334
"175","CPO",1.32894015923423,0.451468565886496,0.0929460747368421,0.06994,0.0230060747368421
"177","MAP4K4",0.347208351313327,0.0454087219152845,-0.0271776315789474,-0.0782747058823529,0.0510970743034056
